model,term,coefficient,std_error,t_stat,p_value,r_squared
CAPM,Intercept,0.0001490405711886271,2.4990723234045e-05,5.963835851920776,2.4638425973037515e-09,0.26619703116031423
CAPM,mkt_excess,0.9143188900553029,0.0040805618605543785,224.0669107099592,0.0,0.26619703116031423
FF3,Intercept,0.00017678456619512798,2.4934901237840638e-05,7.089844251191328,1.3426301718259319e-12,0.27277374390417586
FF3,mkt_excess,0.8962827851584416,0.0043228587462492,207.33566321964977,0.0,0.27277374390417586
FF3,smb,0.1307065414119372,0.006074534442310236,21.51712903322144,1.0762357661410146e-102,0.27277374390417586
FF3,hml,0.18348007132567837,0.005097014096808759,35.997560108879284,9.133845261935711e-284,0.27277374390417586
Sector Effects,Intercept,7.964730309702098e-05,6.190236938841149e-05,1.2866600080728323,0.1982128179853414,0.272814314359229
Sector Effects,C(sector)[T.Communication Services],0.00018306964662135884,9.167765544457017e-05,1.9968840360674993,0.04583778176085542,0.272814314359229
Sector Effects,C(sector)[T.Consumer Cyclical],0.0002126985253973491,7.431849613909898e-05,2.8619864024057984,0.00420994968214267,0.272814314359229
Sector Effects,C(sector)[T.Consumer Defensive],-7.620381002277953e-05,7.3345554337284e-05,-1.0389697195872523,0.2988188192179043,0.272814314359229
Sector Effects,mkt_excess,0.8962815156848044,0.004323391670634795,207.30981228753794,0.0,0.272814314359229
Sector Effects,smb,0.13071037217039053,0.006073646652536113,21.52090492715955,9.920728940465569e-103,0.272814314359229
Sector Effects,hml,0.18347871534749646,0.0050965125858969205,36.00083630818829,8.116957223564903e-284,0.272814314359229
Ticker Fixed Effects,mkt_excess,0.8962791533482125,0.0043240705542729775,207.27671810593463,0.0,0.27282891022086175
Ticker Fixed Effects,smb,0.13071131468895858,0.00607287264111277,21.52380305229117,9.319582618044054e-103,0.27282891022086175
Ticker Fixed Effects,hml,0.1834810542498047,0.005097291130613181,35.99579650215756,9.732975690618202e-284,0.27282891022086175
