year,violations,expected,critical_low,critical_high,reject_var,avg_shortfall,avg_es
2017,1,253.44,250.0,256.0,True,22816.43789390046,17936.518419812255
2018,7,252.45,249.0,255.0,True,23015.14389347152,21994.52537931874
2019,4,252.45,249.0,255.0,True,21611.073667437224,20202.970852886534
2020,10,254.43,251.0,257.0,True,37796.23198377674,35163.100898363635
2021,6,255.42,252.0,258.0,True,19912.532524765393,22317.47131497023
2022,6,254.43,251.0,257.0,True,25707.517422362227,29987.60479107691
2023,2,252.45,249.0,255.0,True,22641.57987064685,21716.97284334242
2024,6,253.44,250.0,256.0,True,23933.251068888185,22739.528387893304
2025,6,252.45,249.0,255.0,True,31672.923486867952,24167.541457345997
2026,0,61.38,60.0,62.0,True,0.0,24633.091529553392
