model,alpha,entity,VaR_eur,ES_eur
Historical,0.01,ASML,8958.167746238656,12488.032658593578
Historical,0.05,ASML,5430.296983326762,7889.529620516512
Historical,0.01,SHELL,4035.101570889386,6069.75353813301
Historical,0.05,SHELL,2083.0661812316557,3436.5852494806577
Historical,0.01,JPM_EUR,11278.946550418712,16844.012001331397
Historical,0.05,JPM_EUR,6374.223666372265,9820.605346373944
Historical,0.01,STOXX50,2832.0318734895286,3797.982234111804
Historical,0.05,STOXX50,1327.939649661349,2193.601171013306
Historical,0.01,SP500_EUR,7953.542675199104,12019.72505218052
Historical,0.05,SP500_EUR,4483.710038702533,7013.896968167745
Historical,0.01,LOAN,928.8016248506924,1258.883192700255
Historical,0.05,LOAN,465.652118670635,758.5894026749249
Historical,0.01,Portfolio,27153.730460744595,41585.51296681873
Historical,0.05,Portfolio,14180.152870244903,23530.966783282765
Normal,0.01,ASML,7854.026384022126,9027.546538131752
Normal,0.05,ASML,5493.95952406491,6941.037923289695
Normal,0.01,SHELL,3295.7894332079336,3782.3718665411766
Normal,0.05,SHELL,2317.223303324618,2917.232537297257
Normal,0.01,JPM_EUR,9841.792717877186,11301.01516346012
Normal,0.05,JPM_EUR,6907.149863158655,8706.530362310927
Normal,0.01,STOXX50,2081.534646195337,2388.0568976966833
Normal,0.05,STOXX50,1465.0876213407294,1843.063003762589
Normal,0.01,SP500_EUR,6745.439725973414,7744.822210998369
Normal,0.05,SP500_EUR,4735.58120324646,5967.928855375577
Normal,0.01,LOAN,679.2055984578421,776.7613908603907
Normal,0.05,LOAN,483.01110461823043,603.3080414970818
Normal,0.01,Portfolio,22620.92463965274,25996.330607856373
Normal,0.05,Portfolio,15832.644322044302,19994.88818986083
Student-t df=5,0.01,ASML,8824.088526670459,11741.291510396773
Student-t df=5,0.05,ASML,5203.0476825418245,7550.440547580209
Student-t df=5,0.01,SHELL,3698.0110705622687,4907.585291659069
Student-t df=5,0.05,SHELL,2196.601095654775,3169.912144689191
Student-t df=5,0.01,JPM_EUR,11048.02377169042,14675.441722091708
Student-t df=5,0.05,JPM_EUR,6545.413349857414,9464.296630446775
Student-t df=5,0.01,STOXX50,2334.9138753628067,3096.8842799841705
Student-t df=5,0.05,STOXX50,1389.1017489722099,2002.2383394517174
Student-t df=5,0.01,SP500_EUR,7571.5551628097555,10055.876848286549
Student-t df=5,0.05,SP500_EUR,4487.837525316097,6486.902736575139
Student-t df=5,0.01,LOAN,759.8477422457978,1002.3574662414837
Student-t df=5,0.05,LOAN,458.8273399681876,653.9682331407099
Student-t df=5,0.01,Portfolio,25411.122604601976,33801.89827832885
Student-t df=5,0.05,Portfolio,14995.892125961947,21747.718124537012
FHS-EWMA,0.01,ASML,11360.097184124352,15625.00511326781
FHS-EWMA,0.05,ASML,6384.003439154104,9677.69559065
FHS-EWMA,0.01,SHELL,3913.5655188805017,5187.02419773862
FHS-EWMA,0.05,SHELL,2057.2293026188668,3277.205805309278
FHS-EWMA,0.01,JPM_EUR,10331.608671273698,13134.71036547153
FHS-EWMA,0.05,JPM_EUR,5704.653305119059,8533.086645425066
FHS-EWMA,0.01,STOXX50,3083.511053689124,4073.552407158044
FHS-EWMA,0.05,STOXX50,1794.5232238186668,2629.8759783229248
FHS-EWMA,0.01,SP500_EUR,8067.737850489518,10484.910066287928
FHS-EWMA,0.05,SP500_EUR,4453.50292073786,6732.926310239639
FHS-EWMA,0.01,LOAN,965.9982359723551,1356.3206590109314
FHS-EWMA,0.05,LOAN,554.4750364869034,829.510800077384
FHS-EWMA,0.01,Portfolio,27286.475799715743,34466.43430595853
FHS-EWMA,0.05,Portfolio,15467.624810129862,22748.501546132244
