avg_predicted_ES,avg_realised_loss,n_violations,model,year
23459.101212388014,22816.43789390046,1,Normal,2017
21506.766635464443,23015.14389347152,7,Normal,2018
21241.44864341682,23013.982557891562,3,Normal,2019
24026.2722630102,40823.85018876453,19,Normal,2020
26633.31817619183,27594.162464362114,1,Normal,2021
27105.62646068625,27099.83837892904,7,Normal,2022
27442.59749328228,25558.890927186912,1,Normal,2023
26164.078335673392,29477.46373477511,3,Normal,2024
26015.230339531558,38885.77270955998,4,Normal,2025
27977.64920880416,25185.21593348357,4,Student-t df=5,2018
27623.95974511875,24560.296275589273,2,Student-t df=5,2019
31072.146278624477,44258.841020421416,16,Student-t df=5,2020
34649.294640124,27594.162464362114,1,Student-t df=5,2021
35440.716950097616,28531.951571101672,4,Student-t df=5,2022
33994.825324297315,32795.19234212382,2,Student-t df=5,2024
33821.04723051167,38885.77270955998,4,Student-t df=5,2025
