violations,trading_days,expected,model,year
1,256,2.56,Normal,2017
7,255,2.5500000000000003,Normal,2018
3,255,2.5500000000000003,Normal,2019
19,257,2.57,Normal,2020
1,258,2.58,Normal,2021
7,257,2.57,Normal,2022
1,255,2.5500000000000003,Normal,2023
3,256,2.56,Normal,2024
4,255,2.5500000000000003,Normal,2025
0,62,0.62,Normal,2026
0,256,2.56,Student-t df=5,2017
4,255,2.5500000000000003,Student-t df=5,2018
2,255,2.5500000000000003,Student-t df=5,2019
16,257,2.57,Student-t df=5,2020
1,258,2.58,Student-t df=5,2021
4,257,2.57,Student-t df=5,2022
0,255,2.5500000000000003,Student-t df=5,2023
2,256,2.56,Student-t df=5,2024
4,255,2.5500000000000003,Student-t df=5,2025
0,62,0.62,Student-t df=5,2026
